waves=1 length=8192 data=CH1/2 
title= ~
sample= ~
comment= ~
date= 2019/08/06~20:01
cf339.939 st60.00 rmfirst fq100.00 md2.0x1
am4.00x100 tc0.03 uF9229.023000 MHz uP4.99000    mW 
accumu= 2
===== CH1 data Wave No.1 ===== 
Intensity            mT 
    -74.56467     324.93900
    -61.93967     324.94266
    -57.81467     324.94632
    -55.18967     324.94998
    -50.31467     324.95365
    -48.68967     324.95731
    -46.06467     324.96097
    -39.18967     324.96463
    -24.81467     324.96830
    -14.93967     324.97196
    -13.56467     324.97562
    -13.93967     324.97928
    -12.43967     324.98295
    -13.43967     324.98661
    -14.81467     324.99027
    -20.06467     324.99393
    -30.93967     324.99760
    -41.31467     325.00126
    -48.06467     325.00492
    -53.93967     325.00858
    -56.18967     325.01225
    -57.56467     325.01591
    -58.18967     325.01957
    -58.93967     325.02323
    -60.18967     325.02690
    -68.43967     325.03056
    -73.31467     325.03422
    -79.43967     325.03788
    -82.31467     325.04155
    -85.31467     325.04521
    -89.43967     325.04887
    -93.06467     325.05253
    -93.81467     325.05620
    -94.93967     325.05986
    -93.93967     325.06352
    -91.56467     325.06718
    -96.31467     325.07085
    -96.93967     325.07451
    -95.18967     325.07817
    -97.93967     325.08184
   -102.06468     325.08550
    -98.93967     325.08916
    -95.18967     325.09282
    -86.06467     325.09649
    -81.43967     325.10015
    -77.93967     325.10381
    -71.68967     325.10747
    -63.93967     325.11114
    -59.93967     325.11480
    -54.06467     325.11846
    -41.81467     325.12212
    -26.31467     325.12579
    -10.81467     325.12945
      2.31033     325.13311
     10.06033     325.13677
     14.43533     325.14044
     29.81033     325.14410
     38.31033     325.14776
     46.56033     325.15142
     53.81033     325.15509
     57.18533     325.15875
     59.68533     325.16241
     54.56033     325.16607
     50.93533     325.16974
     45.81033     325.17340
     33.68533     325.17706
     27.18533     325.18072
     17.06033     325.18439
      7.93533     325.18805
      3.18533     325.19171
     -3.68967     325.19537
     -9.06467     325.19904
    -14.43967     325.20270
    -22.93967     325.20636
    -27.43967     325.21002
    -18.06467     325.21369
     -8.18967     325.21735
      2.31033     325.22101
      9.93533     325.22467
     16.56033     325.22834
     24.06033     325.23200
     27.18533     325.23566
     23.31033     325.23932
     16.81033     325.24299
      9.18533     325.24665
      8.81033     325.25031
     13.68533     325.25398
     21.68533     325.25764
     31.93533     325.26130
     32.68533     325.26496
     36.56033     325.26863
     40.56033     325.27229
     43.56033     325.27595
     43.18533     325.27961
     41.06033     325.28328
     43.68533     325.28694
     36.43533     325.29060
     31.56033     325.29426
     29.93533     325.29793
     30.18533     325.30159
     31.43533     325.30525
     24.81033     325.30891
     17.18533     325.31258
     10.81033     325.31624
     10.56033     325.31990
     16.06033     325.32356
     23.18533     325.32723
     31.18533     325.33089
     42.31033     325.33455
     51.18533     325.33821
     65.43533     325.34188
     73.68533     325.34554
     76.43533     325.34920
     74.43533     325.35286
     71.18533     325.35653
     67.93533     325.36019
     68.43533     325.36385
     74.18533     325.36751
     74.93533     325.37118
     73.68533     325.37484
     68.31033     325.37850
     53.31033     325.38216
     36.31033     325.38583
     25.68533     325.38949
     15.31033     325.39315
     11.56033     325.39681
     13.18533     325.40048
     19.43533     325.40414
     19.93533     325.40780
     18.43533     325.41147
      5.31033     325.41513
     -7.18967     325.41879
    -22.43967     325.42245
    -33.68967     325.42612
    -40.56467     325.42978
    -43.56467     325.43344
    -42.31467     325.43710
    -37.93967     325.44077
    -25.31467     325.44443
    -20.68967     325.44809
    -18.31467     325.45175
    -24.56467     325.45542
    -22.68967     325.45908
    -16.43967     325.46274
    -10.06467     325.46640
     -3.68967     325.47007
     -1.43967     325.47373
     -1.93967     325.47739
     -6.06467     325.48105
     -6.68967     325.48472
     -8.81467     325.48838
    -11.56467     325.49204
    -18.43967     325.49570
    -20.31467     325.49937
    -26.56467     325.50303
    -33.68967     325.50669
    -39.68967     325.51035
    -44.06467     325.51402
    -51.93967     325.51768
    -66.06467     325.52134
    -72.06467     325.52500
    -73.81467     325.52867
    -73.43967     325.53233
    -69.68967     325.53599
    -69.06467     325.53965
    -67.93967     325.54332
    -63.56467     325.54698
    -57.43967     325.55064
    -44.31467     325.55430
    -43.93967     325.55797
    -49.81467     325.56163
    -58.93967     325.56529
    -66.06467     325.56896
    -70.06467     325.57262
    -69.93967     325.57628
    -62.56467     325.57994
    -50.31467     325.58361
    -40.43967     325.58727
    -25.31467     325.59093
     -7.93967     325.59459
      6.06033     325.59826
     14.43533     325.60192
     10.81033     325.60558
      5.68533     325.60924
      5.68533     325.61291
      5.68533     325.61657
      1.31033     325.62023
     -6.43967     325.62389
    -14.93967     325.62756
    -19.56467     325.63122
    -24.56467     325.63488
    -28.31467     325.63854
    -36.81467     325.64221
    -38.81467     325.64587
    -35.43967     325.64953
    -31.81467     325.65319
    -27.43967     325.65686
    -26.56467     325.66052
    -21.93967     325.66418
    -16.56467     325.66784
    -16.06467     325.67151
    -11.18967     325.67517
     -6.18967     325.67883
     -2.68967     325.68249
     -5.43967     325.68616
     -6.06467     325.68982
     -8.43967     325.69348
     -8.31467     325.69714
     -5.68967     325.70081
     -5.56467     325.70447
     -0.06467     325.70813
     11.93533     325.71179
     25.56033     325.71546
     41.68533     325.71912
     58.06033     325.72278
     70.06033     325.72645
     70.93533     325.73011
     70.93533     325.73377
     72.56033     325.73743
     69.31033     325.74110
     66.81033     325.74476
     70.18533     325.74842
     68.81033     325.75208
     70.18533     325.75575
     76.31033     325.75941
     81.31033     325.76307
     84.18533     325.76673
     90.68533     325.77040
     90.93533     325.77406
     86.68533     325.77772
     75.68533     325.78138
     65.81033     325.78505
     57.18533     325.78871
     48.81033     325.79237
     43.06033     325.79603
     32.56033     325.79970
     16.18533     325.80336
     -2.43967     325.80702
    -22.81467     325.81068
    -39.93967     325.81435
    -57.31467     325.81801
    -73.56467     325.82167
    -84.43967     325.82533
    -85.18967     325.82900
    -82.18967     325.83266
    -72.56467     325.83632
    -65.56467     325.83998
    -60.06467     325.84365
    -59.43967     325.84731
    -58.06467     325.85097
    -59.81467     325.85463
    -58.93967     325.85830
    -61.31467     325.86196
    -57.93967     325.86562
    -48.56467     325.86928
    -36.68967     325.87295
    -28.68967     325.87661
    -26.18967     325.88027
    -30.06467     325.88393
    -34.43967     325.88760
    -36.43967     325.89126
    -38.81467     325.89492
    -36.31467     325.89859
    -33.93967     325.90225
    -32.06467     325.90591
    -33.43967     325.90957
    -38.31467     325.91324
    -44.93967     325.91690
    -52.18967     325.92056
    -65.18967     325.92422
    -79.56467     325.92789
    -91.81467     325.93155
    -98.93967     325.93521
    -94.93967     325.93887
    -95.18967     325.94254
   -102.06467     325.94620
   -100.06467     325.94986
    -97.68967     325.95352
    -98.81467     325.95719
    -96.56467     325.96085
    -90.31467     325.96451
    -87.06467     325.96817
    -80.68967     325.97184
    -74.56467     325.97550
    -68.18967     325.97916
    -61.06467     325.98282
    -56.31467     325.98649
    -58.93967     325.99015
    -65.18967     325.99381
    -77.43967     325.99747
    -90.43967     326.00114
    -95.18967     326.00480
   -104.43968     326.00846
   -112.06468     326.01212
   -110.43968     326.01579
   -108.06468     326.01945
   -107.81468     326.02311
   -101.81468     326.02677
    -91.93967     326.03044
    -86.43967     326.03410
    -85.81467     326.03776
    -88.81467     326.04142
    -83.93967     326.04509
    -80.18967     326.04875
    -81.93967     326.05241
    -81.18967     326.05608
    -79.43967     326.05974
    -85.81467     326.06340
    -97.31467     326.06706
   -111.68968     326.07073
   -126.93968     326.07439
   -142.93968     326.07805
   -154.81468     326.08171
   -167.31468     326.08538
   -175.81468     326.08904
   -178.56468     326.09270
   -180.43968     326.09636
   -181.68968     326.10003
   -181.81468     326.10369
   -182.43968     326.10735
   -187.43968     326.11101
   -193.68968     326.11468
   -202.56468     326.11834
   -209.31468     326.12200
   -214.81468     326.12566
   -215.68968     326.12933
   -220.06468     326.13299
   -227.18968     326.13665
   -236.31468     326.14031
   -242.81468     326.14398
   -246.56468     326.14764
   -250.06468     326.15130
   -250.31468     326.15496
   -243.93968     326.15863
   -242.43968     326.16229
   -240.31468     326.16595
   -242.56468     326.16961
   -251.68968     326.17328
   -259.31467     326.17694
   -268.06467     326.18060
   -278.18967     326.18426
   -285.93967     326.18793
   -290.93967     326.19159
   -292.06467     326.19525
   -287.81467     326.19891
   -285.43967     326.20258
   -282.93967     326.20624
   -277.68967     326.20990
   -275.93967     326.21357
   -277.06467     326.21723
   -271.43967     326.22089
   -272.43967     326.22455
   -274.43967     326.22822
   -274.31467     326.23188
   -282.06467     326.23554
   -302.18967     326.23920
   -323.43967     326.24287
   -348.56467     326.24653
   -370.68967     326.25019
   -389.31467     326.25385
   -407.06467     326.25752
   -414.93967     326.26118
   -417.81467     326.26484
   -413.31467     326.26850
   -415.43967     326.27217
   -414.56467     326.27583
   -410.56467     326.27949
   -405.56467     326.28315
   -397.43967     326.28682
   -397.93967     326.29048
   -394.18967     326.29414
   -393.93967     326.29780
   -397.31467     326.30147
   -400.56467     326.30513
   -402.06467     326.30879
